user_id,gender,age,occupation
1,M,24,technician
2,F,53,other
3,M,23,writer
4,M,24,technician
5,F,33,other
6,M,42,executive
7,M,57,administrator
8,M,36,administrator
9,M,29,student
10,M,53,lawyer
11,F,39,other
12,F,28,other
13,M,47,educator
14,M,45,scientist
15,F,49,educator
16,M,21,entertainment
17,M,30,programmer
18,F,35,other
19,M,40,librarian
20,F,42,homemaker
21,M,26,writer
22,M,25,writer
23,F,30,artist
24,F,21,artist
25,M,39,engineer
26,M,49,engineer
27,F,40,librarian
28,M,32,writer
29,M,41,programmer
30,M,7,student
31,M,24,artist
32,F,28,student
33,M,23,student
34,F,38,administrator
35,F,20,homemaker
36,F,19,student
37,M,23,student
38,F,28,other
39,M,41,entertainment
40,M,38,scientist
41,M,33,engineer
42,M,30,administrator
43,F,29,librarian
44,M,26,technician
45,M,29,programmer
46,F,27,marketing
47,M,53,marketing
48,M,45,administrator
49,F,23,student
50,M,21,writer
51,M,28,educator
52,F,18,student
53,M,26,programmer
54,M,22,executive
55,M,37,programmer
56,M,25,librarian
57,M,16,none
58,M,27,programmer
59,M,49,educator
60,M,50,healthcare
61,M,36,engineer
62,F,27,administrator
63,M,31,marketing
64,M,32,educator
65,F,51,educator
66,M,23,student
67,M,17,student
68,M,19,student
69,M,24,engineer
70,M,27,engineer
71,M,39,scientist
72,F,48,administrator
73,M,24,student
74,M,39,scientist
75,M,24,entertainment
76,M,20,student
77,M,30,technician
78,M,26,administrator
79,F,39,administrator
80,F,34,administrator
81,M,21,student
82,M,50,programmer
83,M,40,other
84,M,32,executive
85,M,51,educator
86,M,26,administrator
87,M,47,administrator
88,F,49,librarian
89,F,43,administrator
90,M,60,educator
91,M,55,marketing
92,M,32,entertainment
93,M,48,executive
94,M,26,student
95,M,31,administrator
96,F,25,artist
97,M,43,artist
98,F,49,executive
99,M,20,student
100,M,36,executive
101,M,15,student
102,M,38,programmer
103,M,26,student
104,M,27,student
105,M,24,engineer
106,M,61,retired
107,M,39,scientist
108,M,44,educator
109,M,29,other
110,M,19,student
111,M,57,engineer
112,M,30,salesman
113,M,47,executive
114,M,27,programmer
115,M,31,engineer
116,M,40,healthcare
117,M,20,student
118,M,21,administrator
119,M,32,programmer
120,F,47,other
121,M,54,librarian
122,F,32,writer
123,F,48,artist
124,M,34,student
125,M,30,lawyer
126,F,28,lawyer
127,M,33,none
128,F,24,marketing
129,F,36,marketing
130,M,20,none
131,F,59,administrator
132,M,24,other
133,M,53,engineer
134,M,31,programmer
135,M,23,student
136,M,51,other
137,M,50,educator
138,M,46,doctor
139,M,20,student
140,F,30,student
141,M,49,programmer
142,M,13,other
143,M,42,technician
144,M,53,programmer
145,M,31,entertainment
146,M,45,artist
147,F,40,librarian
